	Abiotrophia	Acetanaerobacterium	Acetatifactor	Acetitomaculum	Acidaminococcus	Acinetobacter	Actinomyces	Aeromonas	Aestuariispira	Akkermansia	Alistipes	Allisonella	Allobaculum	Alloprevotella	Alloscardovia	Anaerococcus	Anaerofilum	Anaerofustis	Anaeroglobus	Anaerophaga	Anaerosporobacter	Anaerostipes	Anaerotruncus	Anaerovorax	Aquabacterium	Arcanobacterium	Atopobium	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Brachyspira	Brevibacterium	Butyricicoccus	Butyricimonas	Butyrivibrio	Campylobacter	Carnobacterium	Catabacter	Catenibacterium	Cerasicoccus	Christensenella	Citrobacter	Cloacibacillus	Clostridium_III	Clostridium_IV	Clostridium_XI	Clostridium_XVIII	Clostridium_XlVa	Clostridium_XlVb	Clostridium_sensu_stricto	Collinsella	Coprobacillus	Coprobacter	Coprococcus	Corynebacterium	Desulfovibrio	Dialister	Dolosigranulum	Dorea	Dysgonomonas	Eggerthella	Eggerthia	Eisenbergiella	Elusimicrobium	Enterobacter	Enterococcus	Enterorhabdus	EscherichiaShigella	Eubacterium	Faecalibacterium	Faecalicoccus	Faecalitalea	Finegoldia	Flavonifractor	Fretibacterium	Fusicatenibacter	Fusobacterium	Gemella	Gemmiger	Gordonibacter	Haemophilus	Helicobacter	Herbaspirillum	Holdemanella	Holdemania	Howardella	Hungatella	Hydrogenoanaerobacterium	Intestinibacter	Intestinimonas	Kingella	Lachnoanaerobaculum	Lactobacillus	Lactococcus	Lactonifactor	Leptotrichia	Leuconostoc	Mannheimia	Massilia	Megamonas	Megasphaera	Methanobrevibacter	Methanomassiliicoccus	Methanosphaera	Mitsuokella	Mogibacterium	Morganella	Moryella	Neisseria	Odoribacter	Olsenella	Oribacterium	Oscillibacter	Oxalobacter	Parabacteroides	Paraeggerthella	Paraprevotella	Parasutterella	Parvimonas	Pediococcus	Peptococcus	Peptoniphilus	Peptostreptococcus	Phascolarctobacterium	Porphyromonas	Prevotella	Propionispira	Proteus	Providencia	Pseudobutyrivibrio	Pseudoflavonifractor	Pseudomonas	Pseudoramibacter	Pyramidobacter	Romboutsia	Roseburia	Rothia	Ruminococcus	Ruminococcus2	Salmonella	Scardovia	Senegalimassilia	Slackia	Solobacterium	Sphaerochaeta	Sporobacter	Staphylococcus	Stomatobaculum	Streptococcus	Streptophyta	Subdoligranulum	Succinatimonas	Succiniclasticum	Succinivibrio	Sutterella	Terrisporobacter	Treponema	Turicibacter	Ureaplasma	Veillonella	Victivallis	Weissella	Yersinia	unclassified_Acetobacteraceae	unclassified_Acidaminococcaceae	unclassified_Aerococcaceae	unclassified_Alteromonadales	unclassified_Anaerolineaceae	unclassified_Anaeroplasmataceae	unclassified_Anaplasmataceae	unclassified_Bacillaceae	unclassified_Bacillales	unclassified_Bacteroidaceae	unclassified_Bacteroidales	unclassified_Bdellovibrionaceae	unclassified_Beijerinckiaceae	unclassified_Beutenbergiaceae	unclassified_Bifidobacteriaceae	unclassified_Blastocatella	unclassified_Bradymonadaceae	unclassified_Bryobacter	unclassified_Burkholderiales	unclassified_Candidatus	unclassified_Carnobacteriaceae	unclassified_Catabacteriaceae	unclassified_Chitinivibrionaceae	unclassified_Chloroplast	unclassified_Christensenellaceae	unclassified_Chromatiaceae	unclassified_Clostridiaceae	unclassified_Clostridiales	unclassified_Comamonadaceae	unclassified_Coriobacteriaceae	unclassified_Corynebacteriaceae	unclassified_Cryomorphaceae	unclassified_Cyclobacteriaceae	unclassified_Cytophagaceae	unclassified_Defluviitaleaceae	unclassified_Dehalococcoidaceae	unclassified_Desulfobacteraceae	unclassified_Desulfobulbaceae	unclassified_Desulfohalobiaceae	unclassified_Desulfomicrobiaceae	unclassified_Desulfovibrionaceae	unclassified_Ectothiorhodospiraceae	unclassified_Elioraea	unclassified_Enterobacteriaceae	unclassified_Enterococcaceae	unclassified_Erysipelotrichaceae	unclassified_Eubacteriaceae	unclassified_Ferroplasmaceae	unclassified_Ferrovaceae	unclassified_Flammeovirgaceae	unclassified_Flavobacteriaceae	unclassified_Fusobacteriaceae	unclassified_Geminicoccus	unclassified_Gracilibacteraceae	unclassified_Halanaerobiaceae	unclassified_Halobacteriaceae	unclassified_Halobacteroidaceae	unclassified_Halomonadaceae	unclassified_Haloplasmataceae	unclassified_Halothiobacillaceae	unclassified_Heliobacteriaceae	unclassified_Hyphomonadaceae	unclassified_Ignavibacteriaceae	unclassified_Kiloniellaceae	unclassified_Kofleriaceae	unclassified_Lachnospiraceae	unclassified_Lactobacillaceae	unclassified_Leptospiraceae	unclassified_Leptotrichiaceae	unclassified_Marinilabiliaceae	unclassified_Marinimicrobia	unclassified_Mariprofundaceae	unclassified_Methanobacteriaceae	unclassified_Methanomassiliicoccaceae	unclassified_Methanoregulaceae	unclassified_Methanosarcinaceae	unclassified_Methylococcaceae	unclassified_Microbacteriaceae	unclassified_Nannocystaceae	unclassified_Natranaerobiaceae	unclassified_Natranaerovirga	unclassified_Neisseriaceae	unclassified_Oceanospirillaceae	unclassified_Oleiphilaceae	unclassified_Oligoflexaceae	unclassified_Oligosphaeraceae	unclassified_Opitutaceae	unclassified_Oxalobacteraceae	unclassified_Pacearchaeota	unclassified_Paenibacillaceae	unclassified_Pasteurellaceae	unclassified_Peptococcaceae	unclassified_Peptoniphilaceae	unclassified_Peptostreptococcaceae	unclassified_Petrotogaceae	unclassified_Planctomycetaceae	unclassified_Planococcaceae	unclassified_Porphyromonadaceae	unclassified_Prevotellaceae	unclassified_Prolixibacteraceae	unclassified_Proteinivoraceae	unclassified_Pseudobacteriovoracaceae	unclassified_Puniceicoccaceae	unclassified_Rhodobacteraceae	unclassified_Rhodobiaceae	unclassified_Rhodocyclaceae	unclassified_Rhodospirillaceae	unclassified_Rickettsiaceae	unclassified_Rikenellaceae	unclassified_Ruminococcaceae	unclassified_Saprospiraceae	unclassified_Simkaniaceae	unclassified_Sinobacteraceae	unclassified_Sphingobacteriaceae	unclassified_Spirochaetaceae	unclassified_Sporolactobacillaceae	unclassified_Staphylococcaceae	unclassified_Streptococcaceae	unclassified_Succinivibrionaceae	unclassified_Sulfolobaceae	unclassified_Sutterellaceae	unclassified_Synergistaceae	unclassified_Syntrophaceae	unclassified_Syntrophobacteraceae	unclassified_Syntrophomonadaceae	unclassified_Syntrophorhabdaceae	unclassified_Thermoactinomycetaceae	unclassified_Thermoanaerobacteraceae	unclassified_Thermodesulfobacteriaceae	unclassified_Thermoplasmatales	unclassified_Thermotogaceae	unclassified_Vallitalea	unclassified_Veillonellaceae	unclassified_Verrucomicrobiaceae	unclassified_Victivallaceae	unclassified_Vulgatibacteraceae	unclassified_Woesearchaeota	unclassified_Xanthomonadaceae
DC26	0	0	0	0	11011953284.3614	0	0	0	0	416418401.509466	323880978.951807	46268711.2788296	0	46268711.2788296	0	0	0	0	0	0	0	323880978.951807	0	0	46268711.2788296	0	0	1434330049.64372	92537422.5576592	3007466233.12392	277612267.672978	1341792627.08606	0	0	92537422.5576592	0	0	0	0	0	92537422.5576592	0	0	0	0	0	185074845.115318	0	0	46268711.2788296	46268711.2788296	46268711.2788296	694030669.182444	0	46268711.2788296	370149690.230637	0	92537422.5576592	601493246.624785	0	1341792627.08606	0	0	0	0	0	0	0	0	647761957.903615	0	5135826951.95009	46268711.2788296	46268711.2788296	0	46268711.2788296	0	46268711.2788296	46268711.2788296	0	601493246.624785	0	0	0	0	416418401.509466	0	0	0	0	46268711.2788296	231343556.394148	0	0	508955824.067126	0	0	0	0	0	0	0	12862701735.5146	138806133.836489	0	0	323880978.951807	185074845.115318	0	0	0	0	2544779120.33563	0	46268711.2788296	0	92537422.5576592	0	92537422.5576592	138806133.836489	0	0	0	0	0	185074845.115318	0	24753760534.1738	0	0	0	0	0	0	0	0	0	8744786431.6988	0	231343556.394148	416418401.509466	0	0	0	0	0	0	0	0	0	1711942317.3167	0	0	0	46268711.2788296	0	185074845.115318	0	0	0	0	416418401.509466	46268711.2788296	0	0	0	138806133.836489	0	0	0	46268711.2788296	0	0	0	185074845.115318	0	323880978.951807	0	0	46268711.2788296	0	0	0	0	46268711.2788296	0	0	0	0	0	0	46268711.2788296	323880978.951807	0	323880978.951807	0	0	46268711.2788296	0	0	0	0	0	0	0	46268711.2788296	0	0	1573136183.48021	0	1758211028.59553	0	0	0	0	0	0	0	46268711.2788296	0	0	0	0	0	0	46268711.2788296	0	0	0	0	5459707930.90189	0	0	0	92537422.5576592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46268711.2788296	0	0	46268711.2788296	0	0	0	1017911648.13425	138806133.836489	0	0	0	46268711.2788296	0	0	0	185074845.115318	0	46268711.2788296	3470153345.91222	0	0	0	0	0	0	0	0	46268711.2788296	0	0	0	0	0	0	0	0	0	0	0	0	0	92537422.5576592	0	0	0	0	0
DC27	0	0	0	0	462834395.540983	0	0	0	0	92566879.1081965	1619920384.39344	0	0	0	0	0	0	0	0	0	0	2267888538.15082	46283439.5540983	0	46283439.5540983	0	0	2915856691.90819	277700637.32459	46283439.5540983	138850318.662295	7960751603.3049	0	0	509117835.095081	46283439.5540983	0	0	0	0	0	0	0	0	0	0	92566879.1081965	0	46283439.5540983	138850318.662295	185133758.216393	0	231417197.770491	0	0	740535032.865572	0	0	370267516.432786	0	1064519109.74426	0	0	0	0	46283439.5540983	0	0	0	0	0	13838748426.6754	0	0	0	46283439.5540983	0	2221605098.59672	0	0	92566879.1081965	92566879.1081965	0	0	0	46283439.5540983	0	0	0	0	0	46283439.5540983	0	0	0	92566879.1081965	0	0	0	0	0	46283439.5540983	0	0	0	0	0	46283439.5540983	0	0	0	92566879.1081965	0	0	138850318.662295	0	509117835.095081	0	0	46283439.5540983	0	0	0	0	0	46283439.5540983	0	138850318.662295	0	0	0	46283439.5540983	0	0	0	0	138850318.662295	9302971350.37375	0	231417197.770491	1851337582.16393	0	0	0	92566879.1081965	0	0	0	0	0	601684714.203277	0	0	0	0	0	231417197.770491	0	0	46283439.5540983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462834395.540983	0	0	0	0	0	0	0	0	0	0	0	0	46283439.5540983	0	0	92566879.1081965	0	462834395.540983	0	0	0	0	0	0	0	0	0	0	0	0	0	509117835.095081	0	601684714.203277	46283439.5540983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9441821669.03605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46283439.5540983	0	0	0	0	0	0	0	0	0	0	46283439.5540983	0	0	0	0	0	0	46283439.5540983	46283439.5540983	0	46283439.5540983	6942515933.11474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46283439.5540983	0	0	0	0	0	0	0	0	0	0
DC28	0	0	0	0	0	0	0	0	0	139098857.451128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9597821164.12783	0	0	0	92732571.6340853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510029143.987469	0	46366285.8170426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185465143.268171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46366285.8170426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46366285.8170426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46366285.8170426	0	0	0	46366285.8170426	0	0	46366285.8170426	0	0	0	0	0	0	0	0	46366285.8170426	0	0	0	0	0	92732571.6340853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46366285.8170426	0	0	0	0	0	0	46366285.8170426	0	0	0	0	0	0	0	0	1020058287.97494	0	0	0	0	0	0	0	0	0	46366285.8170426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46366285.8170426	0	46366285.8170426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DC29	0	0	0	0	833116175.548646	0	0	0	0	0	555410783.699097	0	0	0	0	0	0	0	0	0	0	1388526959.24774	0	0	0	0	0	9256846394.98495	740547711.598796	0	185136927.899699	3934159717.86861	0	0	138852695.924774	92568463.9498496	0	0	0	0	0	0	0	0	0	0	231421159.874624	0	92568463.9498496	185136927.899699	92568463.9498496	0	323989623.824473	0	46284231.9749248	92568463.9498496	0	0	879400407.523571	0	509126551.724173	0	92568463.9498496	0	0	0	0	0	0	92568463.9498496	0	7127771724.13842	0	0	0	46284231.9749248	0	416558087.774323	0	0	1110821567.39819	0	0	0	0	0	0	0	0	0	0	92568463.9498496	0	0	1295958495.29789	0	0	0	0	0	0	509126551.724173	925684639.498495	0	0	0	0	0	0	0	0	92568463.9498496	0	0	277705391.849549	0	462842319.749248	0	46284231.9749248	231421159.874624	0	0	0	0	0	46284231.9749248	0	138852695.924774	0	0	0	0	0	0	0	0	0	8331161755.48646	0	92568463.9498496	4952412821.31695	0	0	0	0	0	0	0	0	0	740547711.598796	0	0	0	0	0	0	0	0	0	0	92568463.9498496	0	0	0	0	0	0	0	0	0	0	0	0	46284231.9749248	0	323989623.824473	0	0	0	0	0	0	0	0	46284231.9749248	0	0	0	46284231.9749248	0	46284231.9749248	0	0	138852695.924774	0	0	0	0	0	0	0	0	0	0	92568463.9498496	0	0	462842319.749248	0	92568463.9498496	0	0	0	0	0	0	0	46284231.9749248	0	0	0	0	0	0	0	0	0	0	0	5692960532.91575	0	0	0	46284231.9749248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46284231.9749248	0	0	0	0	0	0	0	0	0	0	0	3239896238.24473	0	0	0	0	0	0	0	0	0	0	46284231.9749248	0	0	0	0	0	0	0	0	0	0	0	138852695.924774	0	0	0	0	0
DC30	0	0	0	0	0	0	0	0	0	416544639.053835	1157068441.81621	46282737.6726483	0	46282737.6726483	0	0	0	0	0	0	0	1527330343.19739	0	0	0	0	0	370261901.381187	92565475.3452966	1342199392.5068	0	1481047605.52475	0	0	0	185130950.690593	0	0	0	0	0	0	0	0	0	0	2730681522.68625	0	0	0	0	277696426.03589	694241065.089725	0	0	1157068441.81621	46282737.6726483	0	1712461293.88799	0	786806540.435021	0	0	0	0	0	0	0	0	0	0	12588904646.9603	0	0	0	0	0	879372015.780318	0	0	1157068441.81621	0	46282737.6726483	0	0	786806540.435021	46282737.6726483	138848213.017945	0	0	462827376.726483	323979163.708538	0	0	0	0	0	0	0	0	0	0	0	1943874982.25123	0	323979163.708538	0	46282737.6726483	0	0	0	92565475.3452966	92565475.3452966	0	138848213.017945	0	92565475.3452966	0	46282737.6726483	46282737.6726483	0	0	138848213.017945	0	0	46282737.6726483	0	6016755897.44428	0	0	0	0	0	0	0	0	277696426.03589	6016755897.44428	0	8145761830.3861	879372015.780318	0	0	0	0	0	0	0	0	0	3424922587.77598	0	0	0	0	0	46282737.6726483	0	0	92565475.3452966	0	46282737.6726483	0	0	0	0	0	0	0	0	0	0	0	46282737.6726483	0	0	138848213.017945	0	0	0	0	0	0	0	46282737.6726483	0	0	0	0	416544639.053835	0	231413688.363242	138848213.017945	0	462827376.726483	0	0	0	0	46282737.6726483	0	0	0	0	0	0	0	0	1805026769.23328	46282737.6726483	46282737.6726483	92565475.3452966	0	46282737.6726483	0	0	0	0	46282737.6726483	0	0	0	0	0	0	46282737.6726483	0	0	0	0	12496339171.615	0	0	0	6433300536.49812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46282737.6726483	0	0	277696426.03589	0	0	0	0	0	0	694241065.089725	92565475.3452966	185130950.690593	46282737.6726483	0	46282737.6726483	0	0	0	0	0	0	16430371873.7902	0	0	0	0	0	0	0	46282737.6726483	0	0	0	46282737.6726483	0	0	0	0	46282737.6726483	0	0	0	0	0	185130950.690593	0	0	0	0	0
DC31	0	46266510.4737617	0	0	0	0	0	0	0	13371021526.9171	4811717089.27121	0	0	46266510.4737617	0	0	0	46266510.4737617	0	0	0	9253302094.75233	92533020.9475233	0	0	0	46266510.4737617	57786871581.7283	46266510.4737617	16285811686.7641	1202929272.3178	4302785474.05984	0	0	277599062.84257	370132083.790093	0	0	0	0	46266510.4737617	0	0	0	46266510.4737617	0	27528573731.8882	0	46266510.4737617	323865573.316332	92533020.9475233	46266510.4737617	0	0	370132083.790093	1017863230.42276	0	46266510.4737617	971596719.948995	0	46266510.4737617	0	185066041.895047	0	46266510.4737617	0	0	46266510.4737617	0	46266510.4737617	0	11057696003.229	0	0	0	693997657.106425	0	2359592034.16184	0	0	138799531.421285	0	0	0	0	46266510.4737617	0	46266510.4737617	0	0	323865573.316332	323865573.316332	0	0	46266510.4737617	0	0	0	0	0	0	0	0	231332552.368808	138799531.421285	46266510.4737617	0	0	0	0	0	555198125.68514	0	0	1850660418.95047	0	1017863230.42276	0	46266510.4737617	6662377508.22168	0	0	0	0	0	46266510.4737617	0	462665104.737617	0	0	0	0	0	0	46266510.4737617	0	0	18229005126.6621	0	2313325523.68808	1064129740.89652	0	0	0	0	0	0	92533020.9475233	0	0	138799531.421285	0	0	0	0	46266510.4737617	92533020.9475233	0	0	46266510.4737617	0	92533020.9475233	0	0	0	0	0	0	0	0	46266510.4737617	0	0	0	231332552.368808	0	925330209.475233	0	0	46266510.4737617	0	0	0	0	0	0	46266510.4737617	0	0	46266510.4737617	0	92533020.9475233	231332552.368808	0	277599062.84257	0	0	0	0	0	0	0	0	0	0	46266510.4737617	0	0	46266510.4737617	0	416398594.263855	46266510.4737617	0	0	0	46266510.4737617	0	0	46266510.4737617	0	0	0	0	0	0	0	0	0	0	0	12306891786.0206	0	0	0	92533020.9475233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46266510.4737617	0	0	0	0	0	138799531.421285	277599062.84257	46266510.4737617	0	0	92533020.9475233	0	0	0	185066041.895047	0	46266510.4737617	14065019184.0235	0	0	0	0	0	0	0	0	0	0	92533020.9475233	46266510.4737617	0	0	0	0	0	0	0	0	0	0	46266510.4737617	0	0	0	0	0
DC32	0	0	0	0	879285484.143786	0	46278183.3759887	0	0	185112733.503955	1712292784.91158	185112733.503955	46278183.3759887	92556366.7519775	0	0	0	0	0	0	0	1295789134.52768	46278183.3759887	0	0	0	0	3933645586.95904	323947283.631921	1573458234.78362	138834550.127966	1666014601.53559	0	0	323947283.631921	323947283.631921	0	0	0	0	277669100.255932	0	0	0	0	0	833007300.767797	0	46278183.3759887	92556366.7519775	0	323947283.631921	1712292784.91158	0	0	2637856452.43136	0	0	1434623684.65565	0	1295789134.52768	0	0	0	0	0	0	46278183.3759887	0	46278183.3759887	0	31931946529.4322	0	0	0	46278183.3759887	0	971841850.895763	46278183.3759887	0	694172750.639831	0	0	0	0	92556366.7519775	0	138834550.127966	0	0	740450934.01582	138834550.127966	0	0	92556366.7519775	46278183.3759887	0	0	0	0	0	46278183.3759887	1018120034.27175	323947283.631921	0	185112733.503955	694172750.639831	46278183.3759887	0	0	0	138834550.127966	647894567.263842	0	370225467.00791	0	323947283.631921	0	323947283.631921	0	0	0	138834550.127966	0	0	46278183.3759887	0	31098939228.6644	0	0	0	0	0	0	0	0	185112733.503955	12957891345.2768	0	3609698303.32712	4998043804.60678	0	0	138834550.127966	0	0	0	46278183.3759887	0	0	46278183.3759887	0	0	0	416503650.383899	0	1110676401.02373	138834550.127966	0	92556366.7519775	0	370225467.00791	231390916.879944	0	0	0	92556366.7519775	0	46278183.3759887	0	92556366.7519775	0	0	0	0	92556366.7519775	185112733.503955	0	0	46278183.3759887	0	0	0	0	0	46278183.3759887	0	0	0	46278183.3759887	0	0	416503650.383899	0	416503650.383899	0	0	0	0	46278183.3759887	0	0	0	0	46278183.3759887	0	0	0	46278183.3759887	0	277669100.255932	185112733.503955	0	0	0	0	0	0	46278183.3759887	0	46278183.3759887	0	0	0	0	0	0	0	0	0	18048491516.6356	0	0	0	46278183.3759887	0	0	0	46278183.3759887	0	0	0	0	0	46278183.3759887	0	0	0	0	0	0	0	0	0	0	46278183.3759887	0	0	92556366.7519775	0	0	0	462781833.759887	462781833.759887	0	0	0	46278183.3759887	0	0	0	46278183.3759887	0	185112733.503955	12819056795.1489	0	0	0	0	0	0	0	0	0	0	323947283.631921	0	0	0	0	0	0	46278183.3759887	0	0	0	0	185112733.503955	0	0	0	46278183.3759887	0
DC33	0	0	0	0	0	0	0	0	0	0	3934098357.93383	0	0	1249654772.52016	0	0	0	46283510.0933392	0	0	0	3008428156.06705	0	0	0	0	0	3887814847.84049	462835100.933392	0	0	4489500479.0539	0	0	416551590.840053	462835100.933392	0	0	0	0	0	0	0	0	0	0	833103181.680106	0	0	185134040.373357	323984570.653374	0	92567020.1866784	0	138850530.280018	601685631.21341	0	0	0	46283510.0933392	1064520732.1468	0	0	0	0	0	0	0	0	0	0	8655016387.45443	0	0	0	138850530.280018	0	647969141.306749	0	0	3332412726.72042	0	0	0	0	647969141.306749	92567020.1866784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138850530.280018	0	0	462835100.933392	0	323984570.653374	0	0	0	0	0	277701060.560035	0	0	92567020.1866784	0	12635398255.4816	0	0	0	0	46283510.0933392	0	0	0	46283510.0933392	5183753130.45399	0	786819671.586766	3008428156.06705	0	0	231417550.466696	0	0	0	0	0	0	92567020.1866784	0	0	0	0	0	786819671.586766	0	0	0	0	0	0	0	0	0	1064520732.1468	0	46283510.0933392	0	0	0	0	46283510.0933392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46283510.0933392	0	92567020.1866784	0	0	0	0	0	0	0	0	0	0	92567020.1866784	0	0	46283510.0933392	0	971953711.960123	0	0	0	0	0	0	0	92567020.1866784	0	0	0	0	0	0	0	0	0	0	0	13885053028.0018	46283510.0933392	0	0	46283510.0933392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46283510.0933392	46283510.0933392	0	46283510.0933392	0	0	0	509118611.026731	231417550.466696	0	0	0	92567020.1866784	0	0	0	92567020.1866784	0	1157087752.33348	12589114745.3883	0	0	0	46283510.0933392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46283510.0933392	46283510.0933392	0	0	0	0	0
DC34	0	0	0	0	0	0	0	0	0	0	555417976.094841	0	0	0	0	0	0	0	0	0	0	8886687617.51745	0	0	0	0	0	5276470772.90099	231424156.706184	2175387073.03813	138854494.02371	6017028074.36077	0	0	416563482.071131	46284831.3412367	0	0	0	0	0	0	0	0	0	0	231424156.706184	0	0	46284831.3412367	46284831.3412367	0	1018266289.50721	0	46284831.3412367	92569662.6824735	0	0	2545665723.76802	0	833126964.142261	0	0	0	46284831.3412367	0	0	0	0	0	0	30640558347.8987	0	0	0	138854494.02371	0	2499380892.42678	0	0	46284831.3412367	0	46284831.3412367	0	0	0	0	0	0	0	0	46284831.3412367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46284831.3412367	0	0	277708988.04742	0	1388544940.2371	0	0	0	0	0	0	0	0	46284831.3412367	0	0	0	0	0	0	0	0	0	0	46284831.3412367	12913467944.205	0	92569662.6824735	1990247747.67318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46284831.3412367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92569662.6824735	0	0	0	0	0	0	0	0	0	0	0	0	92569662.6824735	0	0	46284831.3412367	0	92569662.6824735	0	0	0	46284831.3412367	0	0	0	0	0	0	46284831.3412367	0	0	0	46284831.3412367	1481114602.91958	0	0	0	0	0	0	0	0	0	46284831.3412367	0	0	0	0	0	0	0	0	0	8284984810.08138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46284831.3412367	0	0	0	46284831.3412367	0	0	0	0	0	1758823590.967	4721052796.80615	0	0	0	46284831.3412367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DC35	0	0	0	0	0	0	46279622.7280425	0	0	138838868.184127	3378412459.1471	0	0	92559245.4560849	0	0	0	0	0	0	0	2637938495.49842	0	0	0	46279622.7280425	0	4535403027.34816	231398113.640212	1434668304.56932	46279622.7280425	3609810572.78731	0	0	138838868.184127	0	0	0	0	0	0	0	0	0	0	0	462796227.280425	0	0	46279622.7280425	46279622.7280425	0	786753586.376722	46279622.7280425	46279622.7280425	6571706427.38203	0	0	2175142268.218	0	647914718.192594	0	0	0	0	0	0	0	0	0	0	20039076641.2424	0	92559245.4560849	0	0	0	2221421890.94604	0	0	694194340.920637	0	46279622.7280425	0	0	46279622.7280425	0	0	0	0	46279622.7280425	46279622.7280425	0	0	0	0	0	0	0	0	0	0	0	46279622.7280425	0	0	0	46279622.7280425	0	0	0	138838868.184127	46279622.7280425	0	1064431322.74498	0	416516604.552382	0	46279622.7280425	46279622.7280425	0	0	138838868.184127	0	0	46279622.7280425	0	27397536655.0011	0	0	0	0	0	0	0	0	46279622.7280425	18835806450.3133	0	2452820004.58625	1295829436.38519	0	0	462796227.280425	0	0	0	46279622.7280425	0	0	323957359.096297	0	0	0	0	0	833033209.104764	0	0	46279622.7280425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46279622.7280425	0	0	46279622.7280425	0	0	0	0	0	0	0	0	0	138838868.184127	0	46279622.7280425	185118490.91217	0	462796227.280425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2730497740.9545	0	46279622.7280425	0	0	0	0	0	46279622.7280425	0	0	0	0	0	0	0	0	0	0	0	16151588332.0868	0	0	0	46279622.7280425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92559245.4560849	0	0	0	0	0	0	138838868.184127	46279622.7280425	0	0	0	46279622.7280425	0	0	0	138838868.184127	0	92559245.4560849	7173341522.84658	0	0	0	0	0	0	0	0	0	0	46279622.7280425	0	0	0	0	0	0	0	0	0	0	0	92559245.4560849	0	0	0	46279622.7280425	0
