"feature"	"metadata"	"value"	"coef"	"pval"	"qval"	"association"
"bac16SV4_L100_Nextseq_03890"	"day"	"day"	-0.169325177300525	3.82807424900428e-08	7.56044664178346e-07	"abundance"
"bac16SV4_L100_Nextseq_01980"	"day"	"day"	-0.326908232055183	4.32401746366977e-08	8.40855088319783e-07	"abundance"
"bac16SV4_L100_Nextseq_00028"	"day"	"day"	-0.734530820674106	5.10088581081897e-08	9.76896918920481e-07	"abundance"
"bac16SV4_L100_Nextseq_03444"	"day"	"day"	-0.227601384940316	6.92547418566975e-08	1.30653721950546e-06	"abundance"
"bac16SV4_L100_Nextseq_03427"	"day"	"day"	-0.242621088649936	7.91893310258876e-08	1.47198991789297e-06	"abundance"
"bac16SV4_L100_Nextseq_03366"	"read_depth"	"read_depth"	-0.129542233709658	9.67098660487389e-08	1.77161261863197e-06	"abundance"
"bac16SV4_L100_Nextseq_03429"	"day"	"day"	-0.192197436611775	1.10079064170947e-07	1.98771338731539e-06	"abundance"
"bac16SV4_L100_Nextseq_05072"	"day"	"day"	-0.22441879650162	1.59777022493568e-07	2.84448107650521e-06	"abundance"
"bac16SV4_L100_Nextseq_04282"	"day"	"day"	-0.172448853585417	2.18271585283093e-07	3.83187894163652e-06	"abundance"
"bac16SV4_L100_Nextseq_04383"	"day"	"day"	-0.112583352315929	2.51034240117212e-07	4.34667506175557e-06	"abundance"
"bac16SV4_L100_Nextseq_00287"	"day"	"day"	0.268614056438718	2.83167964532908e-07	4.83681496175129e-06	"abundance"
"bac16SV4_L100_Nextseq_04149"	"day"	"day"	-0.189954290833574	3.11301213934567e-07	5.24646312551057e-06	"abundance"
"bac16SV4_L100_Nextseq_06240"	"day"	"day"	-0.186931214982081	5.990760089758e-07	9.96357993875541e-06	"abundance"
"bac16SV4_L100_Nextseq_02981"	"day"	"day"	-0.259349644507048	6.31555988388628e-07	1.03673606405614e-05	"abundance"
"bac16SV4_L100_Nextseq_00067"	"day"	"day"	0.312174745308374	7.1194405378008e-07	1.13911048604813e-05	"abundance"
"bac16SV4_L100_Nextseq_04788"	"day"	"day"	-0.187119069927885	7.11510676679947e-07	1.13911048604813e-05	"abundance"
"bac16SV4_L100_Nextseq_04559"	"day"	"day"	-0.183764493262854	9.68676078817107e-07	1.53050820453103e-05	"abundance"
"bac16SV4_L100_Nextseq_00003"	"day"	"day"	-0.670149996535686	1.02674958243306e-06	1.60223638542641e-05	"abundance"
"bac16SV4_L100_Nextseq_00050"	"day"	"day"	0.418572358026271	1.29930863477622e-06	1.97870616187608e-05	"abundance"
"bac16SV4_L100_Nextseq_03164"	"day"	"day"	-0.250446596124804	1.29766455777773e-06	1.97870616187608e-05	"abundance"
"bac16SV4_L100_Nextseq_04120"	"day"	"day"	-0.183740152520241	1.89397957675454e-06	2.84998831549731e-05	"abundance"
"bac16SV4_L100_Nextseq_05301"	"day"	"day"	-0.165336855979763	2.37827846674938e-06	3.53663997878967e-05	"abundance"
"bac16SV4_L100_Nextseq_00066"	"day"	"day"	0.27018650714203	2.53003312460656e-06	3.71856031337522e-05	"abundance"
"bac16SV4_L100_Nextseq_00036"	"day"	"day"	0.343460070166033	3.29227564142184e-06	4.78326024224966e-05	"abundance"
"bac16SV4_L100_Nextseq_06494"	"read_depth"	"read_depth"	-0.0774307324443459	3.55608979298655e-06	5.10783806628977e-05	"abundance"
"bac16SV4_L100_Nextseq_15026"	"read_depth"	"read_depth"	-0.126394928885663	3.69497142170227e-06	5.24768974947379e-05	"abundance"
"bac16SV4_L100_Nextseq_11762"	"read_depth"	"read_depth"	-0.00707751209241868	3.83461752929696e-06	5.38550728559039e-05	"abundance"
"bac16SV4_L100_Nextseq_00118"	"day"	"day"	0.344523231874808	4.85695188755278e-06	6.74635954490848e-05	"abundance"
"bac16SV4_L100_Nextseq_09634"	"read_depth"	"read_depth"	-0.00698568485098153	5.09282042608688e-06	6.99709241149328e-05	"abundance"
"bac16SV4_L100_Nextseq_03569"	"day"	"day"	-0.235591711022126	5.22290843308682e-06	7.09866264453951e-05	"abundance"
"bac16SV4_L100_Nextseq_06108"	"day"	"day"	-0.142975260434582	7.13916513716321e-06	9.59989865252584e-05	"abundance"
"bac16SV4_L100_Nextseq_04175"	"day"	"day"	-0.188456457982287	7.39707289457225e-06	9.8420001460414e-05	"abundance"
"bac16SV4_L100_Nextseq_00208"	"day"	"day"	0.212958217168451	7.77418006276973e-06	0.000102360037493135	"abundance"
"bac16SV4_L100_Nextseq_09160"	"day"	"day"	-0.0998874901010686	8.06505908620636e-06	0.000105095202937782	"abundance"
