"feature"	"metadata"	"effect_size"	"pval"	"qval"	"error"	"associations"
"bac16SV4_L100_Nextseq_00060"	"read_depth"	-0.65406581877607	0.0656892466632766	0.606067210090377	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00063"	"day"	0.425093863808363	0.375127930853387	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00063"	"read_depth"	-0.256481114654025	0.628377019235787	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00064"	"day"	0.404570327240864	0.158491948811392	0.964326214566384	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00064"	"read_depth"	0.753908852397192	0.0123476644613867	0.188041540713165	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00065"	"day"	0.300372157069415	0.712018264129962	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00065"	"read_depth"	0.809356021160725	0.399620414344382	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00066"	"day"	1.03868114936891	0.0273635586956913	0.320254983253276	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00066"	"read_depth"	0.701921416676206	0.0559923642010195	0.552924596485067	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00067"	"day"	0.207442300469513	0.707795826254247	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00067"	"read_depth"	-0.536458367666323	0.212379503248763	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00069"	"day"	0.358580751739776	0.232884955289246	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00069"	"read_depth"	0.333276945521927	0.306057434405379	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00071"	"day"	0.663091321940659	0.205461114024765	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00071"	"read_depth"	0.648691613231892	0.169259792481431	0.992741241775435	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00072"	"day"	-3.60369867657209	0.100907153502055	0.792215167867065	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00072"	"read_depth"	0.0781224461471492	0.948405312583296	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00081"	"day"	0.309481521347205	0.724772928566528	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00081"	"read_depth"	2.7807745860258	0.119255376897814	0.842434836793207	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00084"	"day"	NA	1	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00084"	"read_depth"	NA	1	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00085"	"day"	-0.821358225785778	0.254469961848403	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00085"	"read_depth"	-1.53725140164742	0.669630693224945	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00088"	"day"	-0.202603919964238	0.521982121565408	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00088"	"read_depth"	-0.513268609768743	0.155107946682349	0.964326214566384	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00090"	"day"	1.72846564100188	0.310683924061996	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00090"	"read_depth"	3.51737213432144	0.140694824120443	0.917505642887601	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00091"	"day"	1.19299932699539	0.310750897380896	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00091"	"read_depth"	4.06202766723706	0.0355838578326308	0.394543827196889	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00092"	"day"	5.66545298281284	0.00000469909607799446	0.000258245975764565	NA	"abundance"
"bac16SV4_L100_Nextseq_00092"	"read_depth"	6.59498814305277	0.0000106100789345016	0.000478969277614644	NA	"abundance"
"bac16SV4_L100_Nextseq_00093"	"day"	0.0966368098415681	0.840142103780905	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00093"	"read_depth"	-0.611425951953499	0.503795713092664	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00094"	"day"	1.0726428779405	0.16936430308666	0.992741241775435	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00094"	"read_depth"	0.051214224661522	0.919580286261599	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00095"	"day"	1.76748403179637	0.0166775846950613	0.226671688758683	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00095"	"read_depth"	0.995973181166611	0.193865687822856	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00097"	"day"	0.072116720241794	0.896158822247366	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00097"	"read_depth"	0.661422820573303	0.327678072539736	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00100"	"day"	1.23198230269212	0.111969661627168	0.827658785361056	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00100"	"read_depth"	0.835296069294711	0.15372505093903	0.964326214566384	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00102"	"day"	-1.2614201315617	0.0498701095286049	0.505579703321691	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00102"	"read_depth"	0.923431077275943	0.220973095996837	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00103"	"day"	-0.0937889937646486	0.78220813167319	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00103"	"read_depth"	0.283441812013701	0.445466770054864	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00105"	"day"	NA	1	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00105"	"read_depth"	NA	1	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00107"	"day"	0.784731563723064	0.0499979928126672	0.505579703321691	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00107"	"read_depth"	-0.603976716083258	0.114966144749671	0.842434836793207	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00108"	"day"	1.25704565861935	0.00307229910487957	0.0597444010548889	NA	"abundance"
"bac16SV4_L100_Nextseq_00108"	"read_depth"	-4.31140087842916	0.0000150026788311752	0.00063211286808685	NA	"abundance"
"bac16SV4_L100_Nextseq_00110"	"day"	6.31102145149375	0.99998328893901	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00110"	"read_depth"	-1.0782784839558	0.999988334700914	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00111"	"day"	0.294889778145518	0.707406449679836	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00111"	"read_depth"	-0.650344349009951	0.596255310331295	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00115"	"day"	-1.40379674672182	0.240026657196589	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00115"	"read_depth"	1.63364723183673	0.316689832318414	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00117"	"day"	-1.6316299687791	1.66268962896832e-18	2.10163969101595e-15	NA	"abundance"
"bac16SV4_L100_Nextseq_00117"	"read_depth"	-0.414334235902804	0.0186405466223571	0.237996474047064	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00118"	"day"	0.143140987638004	0.643697596366464	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00118"	"read_depth"	0.14882325308658	0.668927846524715	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00119"	"day"	-4.9337680255628	0.176449803323554	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00119"	"read_depth"	6.03801151059241	0.418829815594667	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00121"	"day"	0.53445519114855	0.227697820822691	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00121"	"read_depth"	-0.456643395880094	0.188413998198418	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00124"	"day"	0.71314108415134	0.497718579146377	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00124"	"read_depth"	-3.54341692404473	0.165355553811189	0.985893490647844	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00126"	"day"	-1.20408918773863	0.364242026531863	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00126"	"read_depth"	0.106845240232292	0.936450132437773	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00127"	"day"	1.57111459339628	0.00303782238131716	0.0597444010548889	NA	"abundance"
"bac16SV4_L100_Nextseq_00127"	"read_depth"	-0.210208498745251	0.693574179822904	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00128"	"day"	-0.0168405222844929	0.960972069322559	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00128"	"read_depth"	1.15898847550948	0.116780042887798	0.842434836793207	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00129"	"day"	0.0222978482901914	0.931948369522267	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00129"	"read_depth"	0.636519785934797	0.0642771137873355	0.606067210090377	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00134"	"day"	0.114020387490235	0.834288408983619	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00134"	"read_depth"	0.925327261469887	0.0926770923248681	0.753060066553829	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00139"	"day"	-1.42871799068044	0.0972021610529225	0.778660457188669	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00139"	"read_depth"	1.10714028706763	0.204229265519425	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00140"	"day"	0.745494316448743	0.263158970599384	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00140"	"read_depth"	-4.62658433729713	0.0812708237262374	0.705102697699341	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00142"	"day"	3.88093802882317	0.119966986252197	0.842434836793207	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00142"	"read_depth"	-0.0180259672119669	0.980309453860699	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00149"	"day"	0.83756634149559	0.591664841332129	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00149"	"read_depth"	1.1856869560364	0.289859961923573	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00150"	"day"	-0.158655503081455	0.932918357480104	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00150"	"read_depth"	-3.16056209735629	0.85724660341581	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00151"	"day"	0.146244090268843	0.900938291602732	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00151"	"read_depth"	-0.805078956600223	0.837724557257824	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00152"	"day"	0.184463692592088	0.909455508099912	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00152"	"read_depth"	4.12406834643759	0.465077088249729	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00154"	"day"	0.39869836588901	0.376920504625911	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00154"	"read_depth"	0.484013673412671	0.332370097357135	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00165"	"day"	-0.552051291968278	0.00847265041467006	0.136056745554578	NA	"abundance"
"bac16SV4_L100_Nextseq_00165"	"read_depth"	0.295274397573484	0.174211804512677	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00166"	"day"	0.166784744092811	0.772134376422363	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00166"	"read_depth"	0.770013805507951	0.255957743294893	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00168"	"day"	0.937937544509973	0.24157747193975	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00168"	"read_depth"	-2.59125660677037	0.119079933585763	0.842434836793207	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00170"	"day"	2.50320361061179	0.169645655240106	0.992741241775435	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00170"	"read_depth"	0.857280492590759	0.806861599392753	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00171"	"day"	0.68934099834366	0.208470848556596	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00171"	"read_depth"	-1.33229707271097	0.0057982908640803	0.10039780345476	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00176"	"day"	NA	1	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00176"	"read_depth"	NA	1	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00179"	"day"	0.29468907088927	0.588112393689872	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00179"	"read_depth"	-1.99515433283919	0.00197481623462305	0.0430373744924747	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00182"	"day"	0.0318810492459408	0.923786797356184	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00182"	"read_depth"	-1.40534905632061	0.0201841979895992	0.24778106395909	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00183"	"day"	-0.256000752153241	0.0364252246071499	0.400360729595108	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00183"	"read_depth"	2.85816940532848	0.000116972261772793	0.00379110099694386	NA	"abundance"
"bac16SV4_L100_Nextseq_00184"	"day"	NA	1	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00184"	"read_depth"	NA	1	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00189"	"day"	NA	1	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00189"	"read_depth"	NA	1	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00192"	"day"	0.702512974061604	0.496377054384789	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00192"	"read_depth"	-0.391071107298819	0.779250942455413	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00194"	"day"	NA	1	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00194"	"read_depth"	NA	1	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00198"	"day"	-1.75229371572743	0.042391544672739	0.446524270552851	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00198"	"read_depth"	2.03759222172174	0.185932084210962	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00201"	"day"	NA	1	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00201"	"read_depth"	NA	1	1	"sensitivity failed"	"abundance"
