"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"association"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae.D_5__ASF356"	"Diet"	"Keto"	-1.8127288119274	0.228306610709019	NA	0.4766841322496	0.00516231112320627	0.0325673301783506	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Peptococcaceae.D_5__Peptococcus"	"Diet"	"Keto"	1.12862880980827	0.00527280583839962	NA	0.0345459692860665	0.00527280583839962	0.0325673301783506	"abundance"
"D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidales.D_4__Muribaculaceae.__"	"Day"	"Day"	-1.18925037408287	0.00304998176613373	NA	0.0231798614226163	0.00609066114349371	0.0339299691336386	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae.D_5__Dorea"	"Diet"	"Keto"	0.216539931530054	0.465263907880269	NA	0.76207019394182	0.00618288578557097	0.0339299691336386	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae.D_5__Lachnospiraceae.UCG.001"	"Day"	"Day"	-1.89623272472045	0.00630127998196146	NA	0.035213035193314	0.00630127998196146	0.0339299691336386	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Ruminiclostridium.9"	"Diet"	"Keto"	1.27386331193512	0.00589763572585517	NA	0.035213035193314	0.00589763572585517	0.0339299691336386	"abundance"
"D_0__Bacteria.D_1__Tenericutes.D_2__Mollicutes.D_3__Mollicutes.RF39.D_4__unidentified.D_5__unidentified"	"Day"	"Day"	-0.558047507297075	1	NA	1	0.00617786435451831	0.0339299691336386	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Erysipelotrichia.D_3__Erysipelotrichales.D_4__Erysipelotrichaceae.D_5__Erysipelatoclostridium"	"Diet"	"Keto"	1.64188684451912	0.00684842400471282	NA	0.0371771588827267	0.00684842400471282	0.0359542260247423	"abundance"
"D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Desulfovibrionales.D_4__Desulfovibrionaceae.D_5__uncultured"	"Day"	"Day"	0.297005644175925	0.00360620218406528	NA	0.0244706576775858	0.0071993996739382	0.0368749739396834	"abundance"
"D_0__Bacteria.D_1__Cyanobacteria.D_2__Melainabacteria.D_3__Gastranaerophilales.__.__"	"Diet"	"Keto"	-2.09120333007666	0.0628535296415358	NA	0.178241352714803	0.00941809308928641	0.0470904654464321	"abundance"
